Node Name, Edge Length
r,36.69
rf,20.39
rff,4.29607
rfff,11.9
rffff,19.38
rfffff,6.41
rffffff,12.42
rfffffff,33.7
rfffffffb,2.24813
rfffffffbb,10.0195
rfffffffbbb,15.6172
rffffffb,0.309349
rffffb,8.9
rffffbb,18.53
rffffbbf,18.8198
rffffbbfb,9.90364
rffffbbfbb,4.98952
rffffbbfbbf,5.87412
rffffbbb,20.31
rffffbbbb,4.06943
rffffbbbbf,3.08653
rfffb,27.3471
rfffbf,4.1873
rfffbff,23.7459
rfffbffb,4.12636
rfffbffbf,16.39
rfffbffbff,9.23
rfffbffbfff,7.01215
rfffbffbffb,11.8161
rfffbffbffbb,3.35669
rfffbffbfb,3.94867
rfffbffbb,25.32
rfffbffbbf,12.17
rfffbffbbff,3.90794
rfffbffbbfb,14.3989
rfffbffbbfbf,26.5662
rfffbffbbfbff,5.46206
rfffbffbbfbb,9.71248
rfffbffbbb,19.1133
rfffbffbbbb,13.0739
rfffbffbbbbb,24.89
rfffbffbbbbbf,23.4905
rfffbffbbbbbb,22.47
rfffbfb,21.0541
rfffbfbf,0.566197
rfffbfbfb,18.0828
rfffbfbb,4.18728
rfffbb,27.3471
rfffbbb,9.44
rfffbbbf,7.20513
rffb,0.133092
rffbf,4.60102
rffbff,5.14953
rffbfff,9.44
rffbffff,4.35453
rffbffffb,2.98764
rffbfb,5.36586
rffbfbf,5.36586
rffbfbff,0.1331
rffbfbb,3.77323
rffbfbbf,3.77323
rffbfbbb,21.0541
rffbb,6.9929
rffbbb,9.44
rfb,15.9895
rfbf,22.48
rfbff,8.91
rfbfff,22.0229
rfbffff,2.08755
rfbfffff,20.57
rfbffb,36.69
rfbffbf,9
rfbffbff,9
rfbfb,0.818993
rfbfbf,9.52584
rfbb,16.53
rfbbf,4.07585
rfbbff,4.99352
rfbbfff,5.96098
rfbbfffb,3.47507
rfbbffb,1.47508
rfbbffbf,7.88089
rfbbfb,2.49053
rfbbfbf,13.5
rfbbb,14.72
rfbbbf,9.08971
rfbbbff,3.94296
rfbbbfff,4.35926
rfbbbffff,16.0577
rfbbbfffff,2.47126
rfbbbffffff,13.3836
rfbbbffffb,4.62174
rfbbbffffbb,16.26
rfbbbfffb,2.57718
rfbbbfffbb,13.7932
rfbbbfffbbf,3.18181
rfbbbfffbbb,4.74608
rfbbbffb,9.60785
rfbbbffbf,3.99133
rfbbbffbff,10.8487
rfbbbffbfb,1.91641
rfbbbffbb,16.53
rfbbbfb,2.49074
rfbbbfbf,0.311764
rfbbbfbff,8.5169
rfbbbfbffb,19.6451
rfbbbfbffbf,11.55
rfbbbfbffbb,28.0296
rfbbbfbfb,0.085632
rfbbbfbb,8.73
rfbbbfbbf,9.03639
rfbbbfbbff,1.71616
rfbbbfbbfff,1.06385
rfbbbfbbfb,13.3673
rfbbbfbbfbf,20.39
rfbbbfbbfbff,9.18
rfbbbfbbfbfff,20.75
rfbbbfbbfbffff,14.9461
rfbbbfbbfbfffb,25.045
rfbbbfbbfbffb,0.874951
rfbbbfbbfbffbb,6.34001
rfbbbfbbfbfb,11.4542
rfbbbfbbfbb,26.21
rfbbbfbbfbbf,8.45
rfbbbfbbfbbfb,15.38
rfbbbfbbfbbfbb,0.200354
rfbbbfbbfbbb,2.97999
rfbbbfbbfbbbb,14.9882
rfbbbfbbb,6.93626
rfbbbfbbbb,4.65887
rfbbbb,2.39609
rfbbbbb,7.97965
rfbbbbbb,1.897
rfbbbbbbf,4.13704
rb,41.4136
rbf,41.1791
rbff,9
rbfff,41.4136
rbffff,9
rbfffb,41.1791
rbfffbf,9
rbfffbff,9
rbfb,37.5069
rbfbf,37.5069
rbfbff,9
rbfbfff,9
rbfbb,13.9
rbfbbb,9
rbfbbbf,7.34
rbfbbbfb,36.69
rbfbbbfbf,7.07
rbfbbbfbff,3.62
rbfbbbfbfff,3.62
rbfbbbfbfffb,3.4581
rbfbbbfbfffbf,36.69
rbfbbbfbfffbff,9
rbfbbbfbfffbb,3.62
rbfbbbfbffb,3.3719
rbfbbbfbfb,3.72
rbfbbbfbb,36.69
rbfbbbfbbf,9
rbfbbbfbbff,36.69
rbfbbbfbbfff,9
