Edge Index,Length
0,36.69
1,9
2,36.69
3,9
4,9
5,36.69
6,9
7,36.69
8,9
9,36.69
10,9
11,36.69
12,9
13,37.5069
14,9
15,37.5069
16,9
17,41.1791
18,9
19,41.1791
20,41.4136
21,9
22,41.4136
23,9
24,13.9
25,7.34
26,3.3719
27,3.62
28,7.07
29,3.62
30,3.4581
31,7.34
32,22.47
33,24.89
34,22.47
35,24.89
36,2.98764
37,4.35453
38,4.60102
39,21.0541
40,3.77323
41,5.36586
42,3.77323
43,9.44
44,34.34
45,9.44
46,27.4802
47,5.36586
48,4.32038
49,21.0541
50,4.1873
51,4.29607
52,23.7459
53,26.5662
54,9.37
55,25.32
56,28.64
57,9.44
58,33.7
59,10.0195
60,33.7
61,10.0195
62,11.9
63,6.41
64,12.42
65,9.27
66,14.03
67,12.17
68,14.3989
69,9.71248
70,19.38
71,20.31
72,8.9
73,18.53
74,18.8198
75,9.05895
76,20.39
77,28.23
78,8.45
79,26.93
80,19.6451
81,8.5169
82,15.3
83,26.21
84,9.32
85,25.92
86,13.3673
87,9.12202
88,15.3
89,7.94
90,16.39
91,9.23
92,16.62
93,13.32
94,16.0577
95,9.08971
96,14.72
97,16.53
98,8.08
99,16.53
100,15.9895
101,7.97965
102,16.26
103,6.85
104,8.73
105,9.40495
106,16.1893
107,9.09592
108,17.4067
109,22.48
110,8.91
111,20.57
112,22.0229
113,7.85669
114,13.5
115,15.53
116,20.39
117,9.18
118,20.75
119,16.01
120,16.8278
121,8.45151
