Edge Index,Length
0,36.69
1,9
2,36.69
3,9
4,9
5,9
6,36.69
7,36.69
8,9
9,36.69
10,36.69
11,9
12,9
13,37.5069
14,37.5069
15,9
16,41.1791
17,41.1791
18,41.4136
19,41.4136
20,9
21,9
22,9
23,9
24,13.9
25,7.34
26,3.3719
27,3.62
28,7.07
29,3.62
30,3.4581
31,7.34
32,22.47
33,24.89
34,22.47
35,24.89
36,2.98764
37,9.44
38,28.64
39,25.32
40,9.37
41,26.5662
42,9.44
43,21.0541
44,3.77323
45,33.7
46,10.0195
47,33.7
48,34.34
49,9.44
50,27.4802
51,21.0541
52,4.1873
53,4.60102
54,4.35453
55,23.7459
56,4.29607
57,3.77323
58,5.36586
59,4.32038
60,5.36586
61,11.9
62,6.41
63,12.42
64,9.27
65,14.03
66,12.17
67,14.3989
68,9.71248
69,19.38
70,20.31
71,8.9
72,18.53
73,18.8198
74,9.05895
75,20.39
76,28.23
77,8.45
78,19.6451
79,8.5169
80,15.3
81,26.21
82,9.32
83,25.92
84,13.3673
85,9.12202
86,15.3
87,7.94
88,16.39
89,9.23
90,16.62
91,13.32
92,16.0577
93,9.08971
94,14.72
95,16.53
96,8.08
97,16.53
98,15.9895
99,7.97965
100,16.26
101,6.85
102,8.73
103,9.40495
104,16.1893
105,9.09592
106,17.4067
107,22.48
108,8.91
109,20.57
110,22.0229
111,7.85669
112,13.5
113,15.53
114,20.39
115,9.18
116,20.75
117,16.01
118,16.8278
119,8.45151
120,10.0195
121,26.93
