Station Positions: 
0,161.000,123.000
1,169.000,191.500
2,77.000,193.500
3,79.500,83.500
4,125.750,211.500
5,50.500,137.500
6,148.250,83.250
7,119.250,85.500
8,82.250,83.500
9,99.250,81.250


 score_average_len: 
 ,0 ,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9
0 ,1.000 ,0.301 ,0.000 ,0.000 ,0.000 ,0.000 ,0.753 ,0.753 ,0.000 ,0.171 ,
1 ,0.301 ,1.000 ,0.421 ,0.000 ,0.603 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,
2 ,0.000 ,0.421 ,1.000 ,0.401 ,0.457 ,0.675 ,0.000 ,0.000 ,0.000 ,0.000 ,
3 ,0.000 ,0.000 ,0.401 ,1.000 ,0.000 ,0.549 ,0.237 ,0.237 ,0.511 ,0.411 ,
4 ,0.000 ,0.603 ,0.457 ,0.000 ,1.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,
5 ,0.000 ,0.000 ,0.675 ,0.549 ,0.000 ,1.000 ,0.000 ,0.000 ,0.000 ,0.000 ,
6 ,0.753 ,0.000 ,0.000 ,0.237 ,0.000 ,0.000 ,1.000 ,1.000 ,0.322 ,0.530 ,
7 ,0.753 ,0.000 ,0.000 ,0.237 ,0.000 ,0.000 ,1.000 ,1.000 ,0.322 ,0.530 ,
8 ,0.000 ,0.000 ,0.000 ,0.511 ,0.000 ,0.000 ,0.322 ,0.322 ,1.000 ,0.694 ,
9 ,0.171 ,0.000 ,0.000 ,0.411 ,0.000 ,0.000 ,0.530 ,0.530 ,0.694 ,1.000 ,

 score_minimum_len: 
 ,0 ,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9
0 ,1.000 ,0.379 ,0.000 ,0.000 ,0.000 ,0.000 ,0.756 ,0.756 ,0.000 ,0.324 ,
1 ,0.379 ,1.000 ,0.567 ,0.000 ,0.621 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,
2 ,0.000 ,0.567 ,1.000 ,0.648 ,0.595 ,0.890 ,0.000 ,0.000 ,0.000 ,0.000 ,
3 ,0.000 ,0.000 ,0.648 ,1.000 ,0.000 ,0.648 ,0.352 ,0.352 ,0.930 ,0.494 ,
4 ,0.000 ,0.621 ,0.595 ,0.000 ,1.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,
5 ,0.000 ,0.000 ,0.890 ,0.648 ,0.000 ,1.000 ,0.000 ,0.000 ,0.000 ,0.000 ,
6 ,0.756 ,0.000 ,0.000 ,0.352 ,0.000 ,0.000 ,1.000 ,1.000 ,1.000 ,1.000 ,
