Station Positions: 
0,188.500,127.250
1,173.750,174.000
2,70.500,162.750
3,186.000,91.750
4,68.750,92.750
5,176.500,76.250
6,185.750,144.500
7,61.250,110.500
8,104.250,61.250


 score_average_len: 
 ,0 ,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8
0 ,1.000 ,0.356 ,0.000 ,0.348 ,0.000 ,0.139 ,0.779 ,0.000 ,0.000 ,
1 ,0.356 ,1.000 ,0.567 ,0.305 ,0.000 ,0.162 ,0.422 ,0.000 ,0.000 ,
2 ,0.000 ,0.567 ,1.000 ,0.000 ,0.309 ,0.000 ,0.000 ,0.399 ,0.000 ,
3 ,0.348 ,0.305 ,0.000 ,1.000 ,0.000 ,0.778 ,0.316 ,0.000 ,0.413 ,
4 ,0.000 ,0.000 ,0.309 ,0.000 ,1.000 ,0.000 ,0.000 ,0.734 ,0.326 ,
5 ,0.139 ,0.162 ,0.000 ,0.778 ,0.000 ,1.000 ,0.168 ,0.000 ,0.618 ,
6 ,0.779 ,0.422 ,0.000 ,0.316 ,0.000 ,0.168 ,1.000 ,0.000 ,0.000 ,
7 ,0.000 ,0.000 ,0.399 ,0.000 ,0.734 ,0.000 ,0.000 ,1.000 ,0.000 ,
8 ,0.000 ,0.000 ,0.000 ,0.413 ,0.326 ,0.618 ,0.000 ,0.000 ,1.000 ,

 score_minimum_len: 
 ,0 ,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8
0 ,1.000 ,0.408 ,0.000 ,0.438 ,0.000 ,0.190 ,0.927 ,0.000 ,0.000 ,
1 ,0.408 ,1.000 ,0.592 ,0.332 ,0.000 ,0.190 ,0.436 ,0.000 ,0.000 ,
2 ,0.000 ,0.592 ,1.000 ,0.000 ,0.381 ,0.000 ,0.000 ,0.530 ,0.000 ,
3 ,0.438 ,0.332 ,0.000 ,1.000 ,0.000 ,0.837 ,0.332 ,0.000 ,0.472 ,
4 ,0.000 ,0.000 ,0.381 ,0.000 ,1.000 ,0.000 ,0.000 ,0.783 ,0.346 ,
5 ,0.190 ,0.190 ,0.000 ,0.837 ,0.000 ,1.000 ,0.190 ,0.000 ,0.654 ,
6 ,0.927 ,0.436 ,0.000 ,0.332 ,0.000 ,0.190 ,1.000 ,0.000 ,0.000 ,
7 ,0.000 ,0.000 ,0.530 ,0.000 ,0.783 ,0.000 ,0.000 ,1.000 ,0.000 ,
8 ,0.000 ,0.000 ,0.000 ,0.472 ,0.346 ,0.654 ,0.000 ,0.000 ,1.000 ,

 score_union_len: 
 ,0 ,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8
0 ,1.000 ,0.217 ,0.000 ,0.211 ,0.000 ,0.075 ,0.638 ,0.000 ,0.000 ,
1 ,0.217 ,1.000 ,0.396 ,0.180 ,0.000 ,0.088 ,0.267 ,0.000 ,0.000 ,
2 ,0.000 ,0.396 ,1.000 ,0.000 ,0.183 ,0.000 ,0.000 ,0.249 ,0.000 ,
3 ,0.211 ,0.180 ,0.000 ,1.000 ,0.000 ,0.637 ,0.187 ,0.000 ,0.261 ,
4 ,0.000 ,0.000 ,0.183 ,0.000 ,1.000 ,0.000 ,0.000 ,0.580 ,0.195 ,
5 ,0.075 ,0.088 ,0.000 ,0.637 ,0.000 ,1.000 ,0.092 ,0.000 ,0.448 ,
6 ,0.638 ,0.267 ,0.000 ,0.187 ,0.000 ,0.092 ,1.000 ,0.000 ,0.000 ,
7 ,0.000 ,0.000 ,0.249 ,0.000 ,0.580 ,0.000 ,0.000 ,1.000 ,0.000 ,
8 ,0.000 ,0.000 ,0.000 ,0.261 ,0.195 ,0.448 ,0.000 ,0.000 ,1.000 ,

 score_inter_sum_ang: 
 ,0 ,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8
0 ,1.000 ,0.477 ,0.000 ,0.586 ,0.000 ,0.128 ,0.886 ,0.000 ,0.000 ,
1 ,0.477 ,1.000 ,0.296 ,0.476 ,0.000 ,0.035 ,0.542 ,0.000 ,0.000 ,
2 ,0.000 ,0.296 ,1.000 ,0.000 ,0.612 ,0.000 ,0.000 ,0.674 ,0.000 ,
