Node Name, Edge Length
r,1.48495
rf,0.109996
rff,1.48995
rfff,1.48996
rfffb,1.48995
rffb,5.24184
rffbb,1.48997
rffbbb,0.534981
rffbbbf,0.57498
rffbbbfb,0.57498
rffbbbfbb,0.109996
rffbbbb,0.534982
rffbbbbb,0.519982
rfb,2.06493
rfbf,5.25859
rfbff,2.06495
rfbb,0.519982
rfbbf,0.139998
rfbbff,0.35999
rfbbfff,0.29999
rfbbffb,0.509983
rfbbfb,0.509992
rfbbfbb,0.369987
rfbbfbbf,0.149995
rfbbfbbff,3.95e-05
rfbbfbbfff,0.0599584
rfbbfbbffb,0.0599978
rfbbfbbfb,0.699976
rfbbb,5.12988
rfbbbf,0.219992
rfbbbff,1.60494
rfbbbfff,1.68067
rfbbbffff,0.399991
rfbbbfffb,1.67963
rfbbbfffbf,1.65546
rfbbbffb,1.24496
rfbbbffbb,0.219992
rfbbbffbbf,0.184993
rfbbbffbbff,0.799972
rfbbbffbbfb,0.219992
rfbbbffbbb,1.05996
rfbbbffbbbf,1.05996
rfbbbfb,1.55495
rfbbbfbf,1.51495
rfbbbfbff,1.55495
rfbbbfbffb,0.229992
rfbbbfbffbf,0.399987
rfbbbfbffbff,0.399987
rfbbbfbffbfb,0.399987
rfbbbfbffbb,0.229992
rfbbbfbffbbf,0.148143
rfbbbfbffbbff,0.934968
rfbbbfbffbbffb,2.51494
rfbbbfbffbbffbf,0.159994
rfbbbfbffbbb,0.219992
rfbbbfbffbbbf,0.219991
rfbbbfbffbbbb,0.219992
rfbbbfbfb,2.58991
rfbbbfbfbf,0.529982
rb,0.914968
rbf,0.774973
rbff,3.16989
rbfff,0.109996
rbffff,0.109996
rbfffff,1.84494
rbffffb,0.914968
rbffffbf,0.769981
rbffffbff,0.529834
rbffffbfb,1.49117
rbffffbfbf,0.914968
rbfffb,6.83575
rbfffbb,6.81284
rbfffbbf,6.78789
rbfffbbff,1.95493
rbfffbbfff,5.07488
rbfffbbfffb,6.81181
rbfffbbfffbf,2.20492
rbfffbbfb,0.615152
rbfffbbfbb,0.77288
rbfffbbfbbb,0.914968
rbfffbbb,4.85989
rbb,2.436
rbbf,1.01496
rbbff,0.27999
rbbfff,8.16722
rbbffff,0.774973
rbbfffff,5.06232
rbbffffff,0.219992
rbbffffffb,0.27999
rbbffffb,0.774973
rbbffffbf,1.64994
rbbfffb,3.38988
rbbfffbf,2.9499
rbbfffbb,0.519982
rbbfffbbb,0.519982
rbbfffbbbf,0.519982
rbbffb,0.376236
rbbffbf,0.376236
rbbffbff,0.29999
rbbffbb,0.675035
rbbffbbb,0.519982
rbbfb,2.95053
rbbfbf,0.127746
rbbfbff,1.02203
rbbfbfff,2.42598
rbbfbffff,3.80491
rbbfbfffb,2.42702
rbbfbfffbf,1.90029
rbbfbfb,0.147745
rbbfbfbf,0.214992
rbbfbfbff,1.03246
rbbfbfbfff,0.219992
rbbfbfbfffb,0.347738
rbbfbfbfffbf,1.03246
rbbfbfbffb,0.655327
rbbfbfbb,0.219992
rbbfbfbbf,0.219992
rbbfbfbbfb,0.219992
rbbfbb,2.94949
rbbfbbf,0.214992
rbbfbbff,2.66494
rbbfbbb,0.219992
rbbfbbbf,0.219992
rbbb,0.202705
rbbbf,1.35341
rbbbff,2.09993
rbbbfff,2.35492
rbbbffff,3.13989
rbbbfffff,2.07993
rbbbffffff,1.97993
rbbbfffffff,2.55991
rbbbffffffff,6.49978
rbbbfffffffff,1.33151
rbbbffffffffff,3.59957
rbbbfffffffffff,2.68985
rbbbffffffffffff,0.109996
rbbbfffffffffffff,0.486214
rbbbffffffffffffff,1.1133
rbbbfffffffffffffff,0.618719
rbbbffffffffffffffb,1.11382
rbbbffffffffffffffbf,2.31992
rbbbffffffffffffffbff,3.54001e-05
rbbbffffffffffffffbffb,1.02619
rbbbffffffffffffb,0.109996
rbbbffffffffffffbf,0.156682
rbbbffffffffffffbfb,0.156164
rbbbfffb,0.29999
rbbbfffbf,0.485525
rbbbfffbff,0.29999
rbbbfffbfff,0.914968
rbbbfffbffb,0.29999
rbbbfffbffbf,0.914967
rbbbfffbffbfb,0.29999
rbbbfffbffbb,0.29999
rbbbfffbfb,1.11091
rbbbfffbfbf,2.22745
rbbbfffbb,0.914968
rbbbfffbbf,0.914968
rbbbfffbbff,0.284186
rbbbfffbbfff,0.905695
rbbbfffbbffb,0.916383
rbbbfffbbb,0.0158039
rbbbfffbbbb,0.740679
rbbbfffbbbbf,0.0303915
rbbbfffbbbbff,0.0445047
rbbbfffbbbbfff,0.0636129
rbbbfffbbbbffff,0.0679306
rbbbfffbbbbfffb,0.0488164
rbbbfffbbbbffb,0.0347033
rbbbfffbbbbb,0.269598
rbbbfffbbbbbf,0.255485
rbbbfffbbbbbff,0.236377
rbbbfffbbbbbfff,0.232062
rbbbfffbbbbbffb,0.251173
rbbbfffbbbbbfb,0.265286
rbbbfffbbbbbb,0.280695
rbbbffb,0.519982
rbbbffbf,0.519983
rbbbffbff,0.519982
rbbbffbfff,0.519982
rbbbffbffb,0.519982
rbbbffbb,0.519982
rbbbffbbf,0.519982
rbbbffbbff,0.519982
rbbbffbbfff,0.519989
rbbbffbbffff,0.519989
rbbbffbbffffb,0.519982
rbbbffbbfffb,0.519982
rbbbb,0.914968
rbbbbb,0.29999
rbbbbbf,0.0213763
rbbbbbff,0.00927323
rbbbbbffb,0.0106866
rbbbbbffbb,0.0170646
rbbbbbb,0.0886199
rbbbbbbf,0.0929316
