Edge Index,Length
0,1.48495
1,0.534982
2,0.519982
3,3.92486
4,0.519982
5,3.16989
6,6.83575
7,4.85989
8,6.81284
9,0.774973
10,0.519982
11,2.9499
12,0.519982
13,1.95493
14,6.81181
15,5.07488
16,6.78789
17,2.20492
18,0.519982
19,3.36488
20,0.519983
21,0.914968
22,0.519982
23,0.618719
24,1.1133
25,0.109996
26,2.40669
27,0.615152
28,0.109996
29,1.84494
30,0.109996
31,0.529834
32,1.28997
33,1.02619
34,0.519982
35,0.914968
36,0.519982
37,6.49978
38,0.519982
39,0.914968
40,0.519982
41,2.09993
42,0.519982
43,0.914968
44,0.519982
45,2.31992
46,0.519982
47,1.49117
48,0.519983
49,0.486214
50,0.202704
51,0.109996
52,0.914968
53,0.109996
54,1.35341
55,0.010687
56,0.29999
57,0.914968
58,0.29999
59,0.74068
60,0.280695
61,2.35492
62,0.29999
63,0.914968
64,0.299989
65,2.07993
66,0.29999
67,0.914969
68,0.299989
69,3.13989
70,0.29999
71,0.916383
72,0.299993
73,1.97993
74,0.29999
75,0.914968
76,0.299989
77,2.55991
78,0.299989
79,0.914967
80,0.299989
81,1.33151
82,0.156163
83,0.109996
84,0.156682
85,3.59957
86,0.29999
87,0.485524
88,2.22745
89,1.76623
90,1.03246
91,0.219992
92,1.03246
93,0.147746
94,0.219992
95,1.02203
96,2.436
97,1.90029
98,2.42702
99,0.127745
100,0.219992
101,0.347739
102,2.64597
103,3.80491
104,2.95053
105,0.219992
106,2.94949
107,5.06488
108,2.92563
109,0.219992
110,2.92459
111,5.12988
112,1.65546
113,1.60494
114,1.05996
115,0.219992
116,0.799973
117,0.219992
118,0.529982
119,3.52488
120,0.229993
121,0.219992
122,0.229992
123,0.769974
124,0.759973
125,3.27989
126,0.774974
127,1.01497
128,0.214992
129,0.219992
130,0.989966
131,5.06232
132,0.27999
133,0.219992
134,0.27999
135,0.376237
136,0.299989
137,10.3934
138,0.359948
139,4e-05
140,0.929967
141,2.51494
142,0.768122
143,0.519982
144,1.55495
145,1.51495
146,2.06493
147,0.109996
148,2.06493
149,5.25859
150,3.55492
151,5.24184
152,0.57498
153,0.109996
154,0.574979
