Edge Index,Length
0,1.48495
1,0.29999
2,0.29999
3,0.519982
4,0.29999
5,0.29999
6,0.29999
7,0.29999
8,0.29999
9,0.29999
10,0.29999
11,0.519982
12,0.109996
13,0.519982
14,0.519982
15,0.519982
16,1.02619
17,2.31992
18,0.359948
19,0.27999
20,1.03246
21,0.519982
22,0.519982
23,0.519982
24,0.219992
25,0.519982
26,3.92486
27,2.9499
28,0.618719
29,0.519982
30,0.219992
31,0.219992
32,0.219992
33,3.95e-05
34,1.03246
35,0.27999
36,3.55492
37,5.24184
38,1.90029
39,0.519982
40,0.769974
41,0.529982
42,1.05996
43,10.3934
44,3.27989
45,0.219992
46,3.80491
47,5.06488
48,0.156164
49,0.109996
50,0.109996
51,2.20492
52,0.529834
53,1.01496
54,5.07488
55,0.534981
56,0.929968
57,5.06232
58,3.59957
59,1.95493
60,3.52488
61,0.485525
62,0.376236
63,0.519982
64,0.109996
65,0.914968
66,0.29999
67,0.29999
68,2.436
69,1.51495
70,0.914968
71,6.49978
72,0.519982
73,0.914968
74,2.09993
75,0.914968
76,0.914968
77,0.202705
78,1.35341
79,0.29999
80,1.97993
81,2.35492
82,3.13989
83,2.07993
84,2.55991
85,1.33151
86,0.109996
87,2.22745
88,0.914968
89,0.109996
90,1.84494
91,0.914968
92,0.109996
93,5.25859
94,0.74068
95,0.109996
96,0.774973
97,3.16989
98,2.06493
99,0.57498
100,3.36488
101,0.57498
102,2.06493
103,0.519982
104,1.55495
105,1.28997
106,0.0106866
107,0.519983
108,0.486214
109,2.94949
110,0.214992
111,2.95053
112,0.989966
113,1.1133
114,0.759974
115,0.156682
116,5.12988
117,6.78789
118,0.519982
119,0.280695
120,6.83575
121,6.81284
122,4.85989
123,0.219992
124,1.65546
125,1.60494
126,0.219992
127,0.774973
128,6.81181
129,0.219992
130,0.229992
131,2.92563
132,0.229992
133,2.92459
134,0.127746
135,1.02203
136,0.147745
137,0.347738
138,0.219992
139,0.914967
140,0.914968
141,2.64597
142,1.76623
143,0.914968
144,2.42702
145,0.768122
146,2.51494
147,1.49117
148,0.29999
149,0.916383
150,0.299993
151,0.799972
152,0.615152
153,0.219992
154,2.40669
155,3.54001e-05
