Station Positions: 
0,10.650,1.400
1,5.350,1.400
2,11.950,10.950
3,10.750,13.200
4,3.700,5.450
5,16.600,2.300
6,12.600,2.300
7,4.100,12.650


 score_average_len: 
 ,0 ,1 ,2 ,3 ,4 ,5 ,6 ,7
0 ,1.000 ,0.566 ,0.468 ,0.455 ,0.194 ,0.741 ,0.956 ,0.247 ,
1 ,0.566 ,1.000 ,0.074 ,0.172 ,0.708 ,0.594 ,0.573 ,0.575 ,
2 ,0.468 ,0.074 ,1.000 ,0.676 ,0.000 ,0.279 ,0.419 ,0.144 ,
3 ,0.455 ,0.172 ,0.676 ,1.000 ,0.128 ,0.185 ,0.429 ,0.451 ,
4 ,0.194 ,0.708 ,0.000 ,0.128 ,1.000 ,0.194 ,0.187 ,0.707 ,
5 ,0.741 ,0.594 ,0.279 ,0.185 ,0.194 ,1.000 ,0.772 ,0.149 ,
6 ,0.956 ,0.573 ,0.419 ,0.429 ,0.187 ,0.772 ,1.000 ,0.212 ,
7 ,0.247 ,0.575 ,0.144 ,0.451 ,0.707 ,0.149 ,0.212 ,1.000 ,

 score_minimum_len: 
 ,0 ,1 ,2 ,3 ,4 ,5 ,6 ,7
0 ,1.000 ,0.566 ,0.525 ,0.509 ,0.238 ,0.802 ,0.992 ,0.281 ,
1 ,0.566 ,1.000 ,0.083 ,0.192 ,0.866 ,0.642 ,0.594 ,0.653 ,
2 ,0.525 ,0.083 ,1.000 ,0.678 ,0.000 ,0.289 ,0.452 ,0.146 ,
3 ,0.509 ,0.192 ,0.678 ,1.000 ,0.139 ,0.190 ,0.461 ,0.458 ,
4 ,0.238 ,0.866 ,0.000 ,0.139 ,1.000 ,0.218 ,0.220 ,0.755 ,
5 ,0.802 ,0.642 ,0.289 ,0.190 ,0.218 ,1.000 ,0.804 ,0.156 ,
6 ,0.992 ,0.594 ,0.452 ,0.461 ,0.220 ,0.804 ,1.000 ,0.231 ,
7 ,0.281 ,0.653 ,0.146 ,0.458 ,0.755 ,0.156 ,0.231 ,1.000 ,

 score_union_len: 
 ,0 ,1 ,2 ,3 ,4 ,5 ,6 ,7
0 ,1.000 ,0.394 ,0.305 ,0.295 ,0.107 ,0.589 ,0.917 ,0.141 ,
1 ,0.394 ,1.000 ,0.038 ,0.094 ,0.548 ,0.422 ,0.402 ,0.403 ,
2 ,0.305 ,0.038 ,1.000 ,0.510 ,0.000 ,0.162 ,0.265 ,0.077 ,
3 ,0.295 ,0.094 ,0.510 ,1.000 ,0.068 ,0.102 ,0.273 ,0.291 ,
4 ,0.107 ,0.548 ,0.000 ,0.068 ,1.000 ,0.108 ,0.103 ,0.546 ,
5 ,0.589 ,0.422 ,0.162 ,0.102 ,0.108 ,1.000 ,0.629 ,0.080 ,
6 ,0.917 ,0.402 ,0.265 ,0.273 ,0.103 ,0.629 ,1.000 ,0.118 ,
7 ,0.141 ,0.403 ,0.077 ,0.291 ,0.546 ,0.080 ,0.118 ,1.000 ,

 score_inter_sum_ang: 
 ,0 ,1 ,2 ,3 ,4 ,5 ,6 ,7
0 ,1.000 ,0.817 ,0.532 ,0.412 ,0.154 ,0.889 ,0.980 ,0.111 ,
1 ,0.817 ,1.000 ,0.035 ,0.074 ,0.756 ,0.732 ,0.707 ,0.684 ,
2 ,0.532 ,0.035 ,1.000 ,0.788 ,0.000 ,0.155 ,0.500 ,0.150 ,
3 ,0.412 ,0.074 ,0.788 ,1.000 ,0.056 ,0.110 ,0.433 ,0.680 ,
4 ,0.154 ,0.756 ,0.000 ,0.056 ,1.000 ,0.111 ,0.128 ,0.788 ,
5 ,0.889 ,0.732 ,0.155 ,0.110 ,0.111 ,1.000 ,0.896 ,0.046 ,
6 ,0.980 ,0.707 ,0.500 ,0.433 ,0.128 ,0.896 ,1.000 ,0.084 ,
7 ,0.111 ,0.684 ,0.150 ,0.680 ,0.788 ,0.046 ,0.084 ,1.000 ,

 score_intersect_ang: 
 ,0 ,1 ,2 ,3 ,4 ,5 ,6 ,7
0 ,1.000 ,0.817 ,0.532 ,0.412 ,0.154 ,0.889 ,0.980 ,0.111 ,
1 ,0.817 ,1.000 ,0.035 ,0.074 ,0.756 ,0.732 ,0.707 ,0.684 ,
2 ,0.532 ,0.035 ,1.000 ,0.788 ,0.000 ,0.155 ,0.500 ,0.150 ,
3 ,0.412 ,0.074 ,0.788 ,1.000 ,0.056 ,0.110 ,0.433 ,0.680 ,
4 ,0.154 ,0.756 ,0.000 ,0.056 ,1.000 ,0.111 ,0.128 ,0.788 ,
5 ,0.889 ,0.732 ,0.155 ,0.110 ,0.111 ,1.000 ,0.896 ,0.046 ,
6 ,0.980 ,0.707 ,0.500 ,0.433 ,0.128 ,0.896 ,1.000 ,0.084 ,
7 ,0.111 ,0.684 ,0.150 ,0.680 ,0.788 ,0.046 ,0.084 ,1.000 ,
