Node Name, Edge Length
r,2.60054
rf,1.52486
rff,2.59266
rfff,0.216712
rffff,1.04022
rfffff,0.197011
rffffff,0.106386
rfffffff,0.208832
rffffffff,1.00082
rfffffffff,0.598913
rffffffffff,0.409783
rfffffffb,0.216712
rfffffffbb,0.106386
rfffffffbbb,1.4106
rfffffffbbbb,0.197011
rfffffffbbbbf,0.110326
rfffffffbbbbb,0.106386
rfffffffbbbbbf,0.106386
rfffffb,3.13641
rfffffbf,6.21766
rfffffbff,3.13641
rfffffbb,4.17663
rfffffbbf,1.00082
rffffb,0.933832
rffffbf,0.811685
rffffbff,0.811685
rffffbfff,0.106386
rffffbfb,0.811685
rffffbfbf,0.811685
rffffbb,0.0866848
rffffbbf,0.0866848
rffffbbb,0.0866848
rffffbbbf,0.0866848
rfffb,0.512228
rfffbf,0.193071
rfffbff,1.69035
rfffbfb,0.114266
rfffbfbf,1.35938
rfffbfbff,0.0827446
rfffbfbffb,0.933832
rfffbfbfb,0.114266
rfffbfbfbf,2.29321
rfffbfbb,0.193071
rfffbb,0.106386
rfffbbf,0.106386
rfffbbff,1.44606
rfffbbffb,1.44606
rfffbbfb,0.106386
rfffbbfbb,0.106386
rfffbbfbbf,0.157609
rfffbbfbbff,0.0512228
rfffbbfbbfb,0.110326
rfffbbfbbfbf,0.0512228
rfffbbfbbfbfb,0.110326
rfffbbfbbfbb,0.0512228
rfffbbfbbfbbf,2.39565
rfffbbfbbb,0.106386
rfffbbb,0.933832
rfffbbbf,0.788044
rfffbbbff,1.44606
rfffbbbfb,0.788044
rfffbbbb,1.97405
rfffbbbbf,0.390081
rfffbbbbff,0.390081
rffb,2.50992
rffbf,2.69905
rffbff,2.69905
rffbfff,0.106386
rffbffff,1.47364
rffbfffb,0.200951
rffbfffbf,0.200951
rfb,0.220652
rfbf,1.69035
rfbff,0.220652
rfbb,2.39565
rfbbf,0.220652
rb,1.00082
rbf,1.00082
rbff,3.23492
rbb,1.8716
rbbf,1.00082
rbbff,1.00082
