Station Positions: 
0,8.450,3.300
1,2.600,3.300
2,7.050,4.775
3,1.425,6.525
4,9.775,3.300
5,3.900,3.500
6,3.675,2.200
7,2.175,1.150
8,0.900,3.600
9,4.325,0.825
10,6.675,2.100
11,10.975,3.975


 score_average_len: 
 ,0 ,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11
0 ,1.000 ,0.462 ,0.708 ,0.009 ,0.659 ,0.708 ,0.365 ,0.105 ,0.316 ,0.240 ,0.456 ,0.385 ,
1 ,0.462 ,1.000 ,0.422 ,0.412 ,0.261 ,0.597 ,0.178 ,0.130 ,0.520 ,0.002 ,0.261 ,0.214 ,
2 ,0.708 ,0.422 ,1.000 ,0.036 ,0.419 ,0.688 ,0.399 ,0.142 ,0.274 ,0.245 ,0.636 ,0.200 ,
3 ,0.009 ,0.412 ,0.036 ,1.000 ,0.010 ,0.041 ,0.000 ,0.000 ,0.063 ,0.000 ,0.000 ,0.010 ,
4 ,0.659 ,0.261 ,0.419 ,0.010 ,1.000 ,0.525 ,0.268 ,0.000 ,0.335 ,0.296 ,0.201 ,0.739 ,
5 ,0.708 ,0.597 ,0.688 ,0.041 ,0.525 ,1.000 ,0.538 ,0.141 ,0.435 ,0.389 ,0.424 ,0.244 ,
6 ,0.365 ,0.178 ,0.399 ,0.000 ,0.268 ,0.538 ,1.000 ,0.504 ,0.036 ,0.535 ,0.344 ,0.000 ,
7 ,0.105 ,0.130 ,0.142 ,0.000 ,0.000 ,0.141 ,0.504 ,1.000 ,0.017 ,0.041 ,0.148 ,0.000 ,
8 ,0.316 ,0.520 ,0.274 ,0.063 ,0.335 ,0.435 ,0.036 ,0.017 ,1.000 ,0.000 ,0.000 ,0.318 ,
9 ,0.240 ,0.002 ,0.245 ,0.000 ,0.296 ,0.389 ,0.535 ,0.041 ,0.000 ,1.000 ,0.145 ,0.000 ,
10 ,0.456 ,0.261 ,0.636 ,0.000 ,0.201 ,0.424 ,0.344 ,0.148 ,0.000 ,0.145 ,1.000 ,0.051 ,
11 ,0.385 ,0.214 ,0.200 ,0.010 ,0.739 ,0.244 ,0.000 ,0.000 ,0.318 ,0.000 ,0.051 ,1.000 ,

 score_minimum_len: 
 ,0 ,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11
0 ,1.000 ,0.504 ,0.711 ,0.015 ,0.775 ,0.729 ,0.423 ,0.180 ,0.497 ,0.422 ,0.611 ,0.618 ,
1 ,0.504 ,1.000 ,0.462 ,0.590 ,0.280 ,0.632 ,0.189 ,0.198 ,0.732 ,0.003 ,0.315 ,0.307 ,
2 ,0.711 ,0.462 ,1.000 ,0.058 ,0.495 ,0.711 ,0.465 ,0.243 ,0.433 ,0.432 ,0.856 ,0.322 ,
3 ,0.015 ,0.590 ,0.058 ,1.000 ,0.014 ,0.063 ,0.000 ,0.000 ,0.064 ,0.000 ,0.000 ,0.010 ,
4 ,0.775 ,0.280 ,0.495 ,0.014 ,1.000 ,0.598 ,0.272 ,0.000 ,0.433 ,0.422 ,0.225 ,0.971 ,
5 ,0.729 ,0.632 ,0.711 ,0.063 ,0.598 ,1.000 ,0.604 ,0.230 ,0.658 ,0.654 ,0.548 ,0.376 ,
6 ,0.423 ,0.189 ,0.465 ,0.000 ,0.272 ,0.604 ,1.000 ,0.712 ,0.048 ,0.775 ,0.391 ,0.000 ,
7 ,0.180 ,0.198 ,0.243 ,0.000 ,0.000 ,0.230 ,0.712 ,1.000 ,0.018 ,0.042 ,0.180 ,0.000 ,
8 ,0.497 ,0.732 ,0.433 ,0.064 ,0.433 ,0.658 ,0.048 ,0.018 ,1.000 ,0.000 ,0.000 ,0.322 ,
9 ,0.422 ,0.003 ,0.432 ,0.000 ,0.422 ,0.654 ,0.775 ,0.042 ,0.000 ,1.000 ,0.181 ,0.000 ,
10 ,0.611 ,0.315 ,0.856 ,0.000 ,0.225 ,0.548 ,0.391 ,0.180 ,0.000 ,0.181 ,1.000 ,0.059 ,
11 ,0.618 ,0.307 ,0.322 ,0.010 ,0.971 ,0.376 ,0.000 ,0.000 ,0.322 ,0.000 ,0.059 ,1.000 ,

 score_union_len: 
 ,0 ,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11
0 ,1.000 ,0.300 ,0.548 ,0.005 ,0.491 ,0.548 ,0.223 ,0.056 ,0.188 ,0.137 ,0.295 ,0.239 ,
1 ,0.300 ,1.000 ,0.267 ,0.259 ,0.150 ,0.426 ,0.098 ,0.070 ,0.351 ,0.001 ,0.150 ,0.120 ,
2 ,0.548 ,0.267 ,1.000 ,0.018 ,0.265 ,0.524 ,0.249 ,0.076 ,0.159 ,0.139 ,0.466 ,0.111 ,
3 ,0.005 ,0.259 ,0.018 ,1.000 ,0.005 ,0.021 ,0.000 ,0.000 ,0.033 ,0.000 ,0.000 ,0.005 ,
4 ,0.491 ,0.150 ,0.265 ,0.005 ,1.000 ,0.356 ,0.155 ,0.000 ,0.201 ,0.174 ,0.112 ,0.586 ,
5 ,0.548 ,0.426 ,0.524 ,0.021 ,0.356 ,1.000 ,0.368 ,0.076 ,0.278 ,0.241 ,0.269 ,0.139 ,
6 ,0.223 ,0.098 ,0.249 ,0.000 ,0.155 ,0.368 ,1.000 ,0.337 ,0.018 ,0.365 ,0.208 ,0.000 ,
7 ,0.056 ,0.070 ,0.076 ,0.000 ,0.000 ,0.076 ,0.337 ,1.000 ,0.008 ,0.021 ,0.080 ,0.000 ,
