Edge Index,Length
0,2.60054
1,2.39565
2,0.051222
3,0.110326
4,0.157608
5,0.409782
6,0.106386
7,0.197011
8,0.106386
9,1.00082
10,0.106386
11,0.086685
12,0.106386
13,1.8125
14,1.8716
15,1.8125
16,0.933832
17,0.086685
18,1.04022
19,1.89918
20,3.23492
21,2.9
22,4.17663
23,0.197011
24,3.13641
25,6.21766
26,3.13641
27,0.200951
28,1.47364
29,2.69905
30,2.50992
31,2.69905
32,0.106386
33,0.200951
34,2.59266
35,1.52486
36,0.933832
37,0.082745
38,1.55245
39,0.216712
40,0.19307
41,0.114267
42,2.29321
43,2.1947
44,1.97405
45,0.390082
46,0.512228
47,0.208831
48,0.216712
49,1.4106
50,0.216712
51,0.598913
52,0.933831
53,0.788044
54,0.106386
55,0.788044
56,1.66671
57,1.69035
58,1.66671
59,0.106386
60,0.106386
61,0.106386
62,0.051223
63,0.110326
64,1.82432
65,2.39565
