Edge Index,Length
0,2.60054
1,2.39565
2,0.0512228
3,0.110326
4,0.157609
5,0.409783
6,0.106386
7,0.197011
8,0.106386
9,1.00082
10,0.106386
11,0.0866848
12,0.106386
13,1.8125
14,1.8716
15,1.8125
16,0.933832
17,0.0866848
18,1.04022
19,1.89918
20,3.23492
21,2.9
22,4.17663
23,0.197011
24,3.13641
25,3.13641
26,0.200951
27,1.47364
28,2.69905
29,2.50992
30,2.69905
31,0.106386
32,0.200951
33,2.59266
34,1.52486
35,0.933832
36,0.0827446
37,1.55245
38,0.216712
39,0.193071
40,0.114266
41,2.29321
42,2.1947
43,1.97405
44,0.390081
45,0.512228
46,0.208832
47,0.216712
48,1.4106
49,0.216712
50,0.598913
51,0.933832
52,0.788044
53,0.106386
54,0.788044
55,1.66671
56,1.69035
57,1.66671
58,0.106386
59,0.106386
60,0.106386
61,0.0512228
62,0.110326
63,1.82432
64,2.39565
65,6.21766
