Station Positions: 
0,8.450,3.300
1,2.600,3.300
2,6.650,2.150
3,2.250,5.150
4,9.750,3.300
5,3.900,3.500
6,4.050,2.300
7,3.150,2.200
8,1.600,3.250
9,4.000,1.500
10,2.150,1.550


 score_average_len: 
 ,0 ,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10
0 ,1.000 ,0.462 ,0.463 ,0.025 ,0.666 ,0.708 ,0.328 ,0.131 ,0.350 ,0.285 ,0.061 ,
1 ,0.462 ,1.000 ,0.266 ,0.477 ,0.260 ,0.597 ,0.159 ,0.206 ,0.624 ,0.023 ,0.097 ,
2 ,0.463 ,0.266 ,1.000 ,0.000 ,0.212 ,0.432 ,0.278 ,0.176 ,0.111 ,0.221 ,0.085 ,
3 ,0.025 ,0.477 ,0.000 ,1.000 ,0.027 ,0.085 ,0.075 ,0.000 ,0.171 ,0.000 ,0.000 ,
4 ,0.666 ,0.260 ,0.212 ,0.027 ,1.000 ,0.530 ,0.299 ,0.000 ,0.287 ,0.341 ,0.000 ,
5 ,0.708 ,0.597 ,0.432 ,0.085 ,0.530 ,1.000 ,0.516 ,0.224 ,0.461 ,0.435 ,0.094 ,
6 ,0.328 ,0.159 ,0.278 ,0.075 ,0.299 ,0.516 ,1.000 ,0.420 ,0.042 ,0.683 ,0.374 ,
7 ,0.131 ,0.206 ,0.176 ,0.000 ,0.000 ,0.224 ,0.420 ,1.000 ,0.068 ,0.218 ,0.849 ,
8 ,0.350 ,0.624 ,0.111 ,0.171 ,0.287 ,0.461 ,0.042 ,0.068 ,1.000 ,0.034 ,0.058 ,
9 ,0.285 ,0.023 ,0.221 ,0.000 ,0.341 ,0.435 ,0.683 ,0.218 ,0.034 ,1.000 ,0.169 ,
10 ,0.061 ,0.097 ,0.085 ,0.000 ,0.000 ,0.094 ,0.374 ,0.849 ,0.058 ,0.169 ,1.000 ,

 score_minimum_len: 
 ,0 ,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10
0 ,1.000 ,0.504 ,0.616 ,0.036 ,0.778 ,0.729 ,0.392 ,0.184 ,0.497 ,0.425 ,0.105 ,
1 ,0.504 ,1.000 ,0.320 ,0.631 ,0.277 ,0.632 ,0.173 ,0.261 ,0.797 ,0.031 ,0.149 ,
2 ,0.616 ,0.320 ,1.000 ,0.000 ,0.237 ,0.554 ,0.306 ,0.184 ,0.117 ,0.243 ,0.105 ,
3 ,0.036 ,0.631 ,0.000 ,1.000 ,0.034 ,0.121 ,0.090 ,0.000 ,0.176 ,0.000 ,0.000 ,
4 ,0.778 ,0.277 ,0.237 ,0.034 ,1.000 ,0.599 ,0.305 ,0.000 ,0.341 ,0.423 ,0.000 ,
5 ,0.729 ,0.632 ,0.554 ,0.121 ,0.599 ,1.000 ,0.595 ,0.303 ,0.631 ,0.623 ,0.157 ,
6 ,0.392 ,0.173 ,0.306 ,0.090 ,0.305 ,0.595 ,1.000 ,0.485 ,0.049 ,0.829 ,0.519 ,
7 ,0.184 ,0.261 ,0.184 ,0.000 ,0.000 ,0.303 ,0.485 ,1.000 ,0.069 ,0.228 ,1.000 ,
8 ,0.497 ,0.797 ,0.117 ,0.176 ,0.341 ,0.631 ,0.049 ,0.069 ,1.000 ,0.036 ,0.068 ,
9 ,0.425 ,0.031 ,0.243 ,0.000 ,0.423 ,0.623 ,0.829 ,0.228 ,0.036 ,1.000 ,0.189 ,
10 ,0.105 ,0.149 ,0.105 ,0.000 ,0.000 ,0.157 ,0.519 ,1.000 ,0.068 ,0.189 ,1.000 ,

 score_union_len: 
 ,0 ,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10
0 ,1.000 ,0.300 ,0.302 ,0.013 ,0.499 ,0.548 ,0.197 ,0.070 ,0.212 ,0.166 ,0.031 ,
1 ,0.300 ,1.000 ,0.153 ,0.313 ,0.150 ,0.426 ,0.087 ,0.115 ,0.453 ,0.012 ,0.051 ,
