Station Positions: 
0,6.350,23.450
1,12.700,26.400
2,12.650,35.550
3,11.250,12.400
4,11.250,4.700
5,11.400,15.600
6,11.750,1.900
7,1.950,4.050
8,6.900,3.300
9,10.700,18.350


 score_average_len: 
 ,0 ,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9
0 ,1.000 ,0.626 ,0.178 ,0.169 ,0.126 ,0.318 ,0.131 ,0.725 ,0.705 ,0.498 ,
1 ,0.626 ,1.000 ,0.459 ,0.405 ,0.356 ,0.539 ,0.361 ,0.529 ,0.480 ,0.716 ,
2 ,0.178 ,0.459 ,1.000 ,0.365 ,0.351 ,0.348 ,0.354 ,0.083 ,0.006 ,0.381 ,
3 ,0.169 ,0.405 ,0.365 ,1.000 ,0.687 ,0.691 ,0.675 ,0.092 ,0.042 ,0.618 ,
4 ,0.126 ,0.356 ,0.351 ,0.687 ,1.000 ,0.603 ,0.765 ,0.036 ,0.000 ,0.552 ,
5 ,0.318 ,0.539 ,0.348 ,0.691 ,0.603 ,1.000 ,0.605 ,0.273 ,0.228 ,0.777 ,
6 ,0.131 ,0.361 ,0.354 ,0.675 ,0.765 ,0.605 ,1.000 ,0.040 ,0.000 ,0.552 ,
7 ,0.725 ,0.529 ,0.083 ,0.092 ,0.036 ,0.273 ,0.040 ,1.000 ,0.840 ,0.437 ,
8 ,0.705 ,0.480 ,0.006 ,0.042 ,0.000 ,0.228 ,0.000 ,0.840 ,1.000 ,0.385 ,
9 ,0.498 ,0.716 ,0.381 ,0.618 ,0.552 ,0.777 ,0.552 ,0.437 ,0.385 ,1.000 ,

 score_minimum_len: 
 ,0 ,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9
0 ,1.000 ,0.662 ,0.199 ,0.230 ,0.172 ,0.387 ,0.187 ,0.904 ,0.955 ,0.588 ,
1 ,0.662 ,1.000 ,0.485 ,0.514 ,0.455 ,0.615 ,0.482 ,0.618 ,0.607 ,0.794 ,
2 ,0.199 ,0.485 ,1.000 ,0.435 ,0.421 ,0.375 ,0.443 ,0.091 ,0.007 ,0.400 ,
3 ,0.230 ,0.514 ,0.435 ,1.000 ,0.691 ,0.760 ,0.704 ,0.099 ,0.042 ,0.699 ,
4 ,0.172 ,0.455 ,0.421 ,0.691 ,1.000 ,0.666 ,0.792 ,0.039 ,0.000 ,0.628 ,
5 ,0.387 ,0.615 ,0.375 ,0.760 ,0.666 ,1.000 ,0.696 ,0.279 ,0.250 ,0.798 ,
6 ,0.187 ,0.482 ,0.443 ,0.704 ,0.792 ,0.696 ,1.000 ,0.045 ,0.000 ,0.653 ,
7 ,0.904 ,0.618 ,0.091 ,0.099 ,0.039 ,0.279 ,0.045 ,1.000 ,0.900 ,0.459 ,
8 ,0.955 ,0.607 ,0.007 ,0.042 ,0.000 ,0.250 ,0.000 ,0.900 ,1.000 ,0.435 ,
9 ,0.588 ,0.794 ,0.400 ,0.699 ,0.628 ,0.798 ,0.653 ,0.459 ,0.435 ,1.000 ,

 score_union_len: 
 ,0 ,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9
0 ,1.000 ,0.455 ,0.097 ,0.092 ,0.067 ,0.189 ,0.070 ,0.569 ,0.545 ,0.332 ,
1 ,0.455 ,1.000 ,0.298 ,0.254 ,0.217 ,0.369 ,0.221 ,0.360 ,0.316 ,0.557 ,
2 ,0.097 ,0.298 ,1.000 ,0.223 ,0.213 ,0.211 ,0.215 ,0.043 ,0.003 ,0.236 ,
3 ,0.092 ,0.254 ,0.223 ,1.000 ,0.523 ,0.528 ,0.510 ,0.048 ,0.022 ,0.447 ,
4 ,0.067 ,0.217 ,0.213 ,0.523 ,1.000 ,0.431 ,0.619 ,0.018 ,0.000 ,0.381 ,
5 ,0.189 ,0.369 ,0.211 ,0.528 ,0.431 ,1.000 ,0.434 ,0.158 ,0.129 ,0.635 ,
6 ,0.070 ,0.221 ,0.215 ,0.510 ,0.619 ,0.434 ,1.000 ,0.020 ,0.000 ,0.381 ,
7 ,0.569 ,0.360 ,0.043 ,0.048 ,0.018 ,0.158 ,0.020 ,1.000 ,0.723 ,0.280 ,
8 ,0.545 ,0.316 ,0.003 ,0.022 ,0.000 ,0.129 ,0.000 ,0.723 ,1.000 ,0.239 ,
9 ,0.332 ,0.557 ,0.236 ,0.447 ,0.381 ,0.635 ,0.381 ,0.280 ,0.239 ,1.000 ,

 score_inter_sum_ang: 
 ,0 ,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9
0 ,1.000 ,0.783 ,0.165 ,0.234 ,0.097 ,0.453 ,0.095 ,0.764 ,0.749 ,0.786 ,
1 ,0.783 ,1.000 ,0.397 ,0.376 ,0.354 ,0.438 ,0.356 ,0.408 ,0.282 ,0.550 ,
2 ,0.165 ,0.397 ,1.000 ,0.346 ,0.348 ,0.306 ,0.350 ,0.093 ,0.002 ,0.245 ,
3 ,0.234 ,0.376 ,0.346 ,1.000 ,0.740 ,0.783 ,0.688 ,0.039 ,0.018 ,0.663 ,
4 ,0.097 ,0.354 ,0.348 ,0.740 ,1.000 ,0.667 ,0.802 ,0.014 ,0.000 ,0.589 ,
